"fechafacturacion","nropresupuesto","ordennro","estado","cliente","condicion","tipo_producto","codigo","sep1","esplancha","tienecorte","ncorte","cantidad","ancho","alto","m2","preciom2","precioplancha","listaprecio","preciolistam2","preciolistapla","sep2","totalusd","preciototalgs","descuento","espera","sep3","tipo_anexo","cantidad_anexo","precio_unitario_anexo","sep4","vendedor","nrofactura","porgananciasusd","gananciausd","costousd","gananciags","costogs","utilidad","cambio","fechafacdia","fechafacsemana","fechafacmes","fechafacanio","idop"
"2026-03-03","PRE-184607","ORD-114672-6-2-2","Entregado","DYCK S.A. (Dyck SA  Johan)","Crédito","VIDRIO","Lam4+4I"," |","-","SI","3","2","0.513","0.987","1.012662","34.34","0","OPTIMIZADO C","34.34","0"," |","34.77","246867","   0.0","-"," |","-","0","0"," |","lucyr","001-001-0038584","0","0","0","0","0","0","7100","03","10","03","2026","137209"
"2026-03-03","PRE-184607","-","-","DYCK S.A. (Dyck SA  Johan)","Crédito","ANEXO","Pulido-MTL pulido recto 8 a 10mm"," |","-","-","0","0","0","0","0","0","0","Lista A","0","0"," |","5.22","37062","0.0","-"," |","Servicio","6","0.87"," |","lucyr","001-001-0038584","0","0","0","0","0","0","7100","03","10","03","2026","0"
"2026-03-03","PRE-184607","ORD-114672-6-2-2","Entregado","DYCK S.A. (Dyck SA  Johan)","Crédito","VIDRIO","Lam4+4I"," |","-","SI","3","2","0.854","0.987","1.6857959999999999","34.34","0","OPTIMIZADO C","34.34","0"," |","57.89","411019","   0.0","-"," |","-","0","0"," |","lucyr","001-001-0038584","0","0","0","0","0","0","7100","03","10","03","2026","137209"
"2026-03-03","PRE-184607","-","-","DYCK S.A. (Dyck SA  Johan)","Crédito","ANEXO","Pulido-MTL pulido recto 8 a 10mm"," |","-","-","0","0","0","0","0","0","0","Lista A","0","0"," |","6.4","45440","0.0","-"," |","Servicio","7.36","0.87"," |","lucyr","001-001-0038584","0","0","0","0","0","0","7100","03","10","03","2026","0"
"2026-03-03","PRE-184607","ORD-114672-6-1-2","Entregado","DYCK S.A. (Dyck SA  Johan)","Crédito","VIDRIO","V6I"," |","-","SI","3","2","0.513","0.987","1.012662","17.66","0","OPTIMIZADO C","17.66","0"," |","17.88","126948","   0.0","-"," |","-","0","0"," |","lucyr","001-001-0038584","0","0","0","0","0","0","7100","03","10","03","2026","137025"
"2026-03-03","PRE-184607","-","-","DYCK S.A. (Dyck SA  Johan)","Crédito","ANEXO","Pulido-MTL pulido recto 3 a 6mm"," |","-","-","0","0","0","0","0","0","0","Lista A","0","0"," |","5.22","37062","0.0","-"," |","Servicio","6","0.87"," |","lucyr","001-001-0038584","0","0","0","0","0","0","7100","03","10","03","2026","0"
"2026-03-03","PRE-184607","-","-","DYCK S.A. (Dyck SA  Johan)","Crédito","ANEXO","DVH-M2 DVH para perfilería Cámara 12"," |","-","-","0","0","0","0","0","0","0","Lista A","0","0"," |","91.8","651780","0.0","-"," |","Servicio","2.7","34"," |","lucyr","001-001-0038584","0","0","0","0","0","0","7100","03","10","03","2026","0"
"2026-03-03","PRE-184607","ORD-114672-6-1-2","Entregado","DYCK S.A. (Dyck SA  Johan)","Crédito","VIDRIO","V6I"," |","-","SI","3","2","0.854","0.987","1.6857959999999999","17.66","0","OPTIMIZADO C","17.66","0"," |","29.77","211367","   0.0","-"," |","-","0","0"," |","lucyr","001-001-0038584","0","0","0","0","0","0","7100","03","10","03","2026","137025"
"2026-03-03","PRE-184607","-","-","DYCK S.A. (Dyck SA  Johan)","Crédito","ANEXO","Pulido-MTL pulido recto 3 a 6mm"," |","-","-","0","0","0","0","0","0","0","Lista A","0","0"," |","6.4","45440","0.0","-"," |","Servicio","7.36","0.87"," |","lucyr","001-001-0038584","0","0","0","0","0","0","7100","03","10","03","2026","0"
"2026-03-03","PRE-184606","ORD-114673-4-1-2","Entregado","DYCK S.A. (Dyck SA  Johan)","Crédito","VIDRIO","V6I"," |","-","SI","3","2","0.27","0.329","0.17766","17.66","0","OPTIMIZADO C","17.66","0"," |","3.14","22294","   0.0","-"," |","-","0","0"," |","lucyr","001-001-0038585","0","0","0","0","0","0","7100","03","10","03","2026","137024"
"2026-03-03","PRE-184606","-","-","DYCK S.A. (Dyck SA  Johan)","Crédito","ANEXO","Pulido-MTL pulido recto 3 a 6mm"," |","-","-","0","0","0","0","0","0","0","Lista A","0","0"," |","2.09","14839","0.0","-"," |","Servicio","2.4","0.87"," |","lucyr","001-001-0038585","0","0","0","0","0","0","7100","03","10","03","2026","0"
