fechafacturacion,nropresupuesto,ordennro,estado,cliente,condicion,tipo_producto,codigo,sep1,esplancha,tienecorte,ncorte,cantidad,ancho,alto,m2,preciom2,precioplancha,listaprecio,preciolistam2,preciolistapla,sep2,totalusd,preciototalgs,descuento,espera,sep3,tipo_anexo,cantidad_anexo,precio_unitario_anexo,sep4,vendedor,nrofactura,porgananciasusd,gananciausd,costousd,gananciags,costogs,utilidad,cambio,fechafacdia,fechafacsemana,fechafacmes,fechafacanio,idop
2023-11-13,PRE-143306,ORD-089176-2-2-3,Entregado,OLMACO S.A. (),Contado,VIDRIO,V5I, |,-,SI,2,1,0.913,1.755,1.602315,16.56,0,OPTIMIZADO A,16.56,0, |,26.53,194465,   0.0,-, |,-,0,0, |,nelcy,001-001-0011272,0,0,0,0,0,0,7330,13,46,11,2023,96096
2023-11-13,PRE-143306,-,-,OLMACO S.A. (),Contado,ANEXO,Pulido-MTL pulido recto 3 a 6mm, |,-,-,0,0,0,0,0,0,0,Lista A,0,0, |,4.65,34084,0.0,-, |,Servicio,5.34,0.87, |,nelcy,001-001-0011272,0,0,0,0,0,0,7330,13,46,11,2023,0
2023-11-13,PRE-143306,-,-,OLMACO S.A. (),Contado,ANEXO,DVH-M2 DVH para perfilería Cámara 6, |,-,-,0,0,0,0,0,0,0,Lista A,0,0, |,36,263880,0.0,-, |,Servicio,1.6,22.5, |,nelcy,001-001-0011272,0,0,0,0,0,0,7330,13,46,11,2023,0
2023-11-13,PRE-143306,ORD-089176-2-3-3,Entregado,OLMACO S.A. (),Contado,VIDRIO,V4I, |,-,SI,2,1,0.913,1.755,1.602315,12.96,0,OPTIMIZADO A,12.96,0, |,20.77,152244,   0.0,-, |,-,0,0, |,nelcy,001-001-0011272,0,0,0,0,0,0,7330,13,46,11,2023,96097
2023-11-13,PRE-143306,-,-,OLMACO S.A. (),Contado,ANEXO,Pulido-MTL pulido recto 3 a 6mm, |,-,-,0,0,0,0,0,0,0,Lista A,0,0, |,4.65,34084,0.0,-, |,Servicio,5.34,0.87, |,nelcy,001-001-0011272,0,0,0,0,0,0,7330,13,46,11,2023,0
2023-11-13,PRE-143306,ORD-089176-2-1-3,Entregado,OLMACO S.A. (),Contado,VIDRIO,V6I, |,-,SI,7,2,0.82,1.76,2.8863999999999996,17.66,0,OPTIMIZADO C,17.66,0, |,50.97,373610,   0.0,-, |,-,0,0, |,nelcy,001-001-0011272,0,0,0,0,0,0,7330,13,46,11,2023,94640
2023-11-13,PRE-143306,ORD-089176-2-1-3,Entregado,OLMACO S.A. (),Contado,VIDRIO,V6I, |,-,SI,7,2,0.825,1.755,2.8957499999999996,17.66,0,OPTIMIZADO C,17.66,0, |,51.14,374856,   0.0,-, |,-,0,0, |,nelcy,001-001-0011272,0,0,0,0,0,0,7330,13,46,11,2023,94640
2023-11-13,PRE-143306,ORD-089176-2-1-3,Entregado,OLMACO S.A. (),Contado,VIDRIO,V6I, |,-,SI,7,2,0.82,1.76,2.8863999999999996,17.66,0,OPTIMIZADO C,17.66,0, |,50.97,373610,   0.0,-, |,-,0,0, |,nelcy,001-001-0011272,0,0,0,0,0,0,7330,13,46,11,2023,94640
2023-11-13,PRE-143306,ORD-089176-2-1-3,Entregado,OLMACO S.A. (),Contado,VIDRIO,V6I, |,-,SI,7,2,0.62,1.755,2.1761999999999997,17.66,0,OPTIMIZADO C,17.66,0, |,38.43,281692,   0.0,-, |,-,0,0, |,nelcy,001-001-0011272,0,0,0,0,0,0,7330,13,46,11,2023,94640
2023-11-13,PRE-143306,ORD-089176-2-1-3,Entregado,OLMACO S.A. (),Contado,VIDRIO,V6I, |,-,SI,7,2,0.855,1.76,3.0096,17.66,0,OPTIMIZADO C,17.66,0, |,53.15,389590,   0.0,-, |,-,0,0, |,nelcy,001-001-0011272,0,0,0,0,0,0,7330,13,46,11,2023,94640
2023-11-13,PRE-143306,ORD-089176-2-1-3,Entregado,OLMACO S.A. (),Contado,VIDRIO,V6I, |,-,SI,7,2,0.923,1.76,3.2489600000000003,17.66,0,OPTIMIZADO C,17.66,0, |,57.38,420595,   0.0,-, |,-,0,0, |,nelcy,001-001-0011272,0,0,0,0,0,0,7330,13,46,11,2023,94640
