"fechafacturacion","nropresupuesto","ordennro","estado","cliente","condicion","tipo_producto","codigo","sep1","esplancha","tienecorte","ncorte","cantidad","ancho","alto","m2","preciom2","precioplancha","listaprecio","preciolistam2","preciolistapla","sep2","totalusd","preciototalgs","descuento","espera","sep3","tipo_anexo","cantidad_anexo","precio_unitario_anexo","sep4","vendedor","nrofactura","porgananciasusd","gananciausd","costousd","gananciags","costogs","utilidad","cambio","fechafacdia","fechafacsemana","fechafacmes","fechafacanio","idop"
"2026-03-03","PRE-184420","ORD-114678-5-2-2","Entregado","DYCK S.A. (Dyck SA  Johan)","Crédito","VIDRIO","Lam4+4I"," |","-","SI","6","1","1.051","1.847","1.9411969999999998","34.34","0","OPTIMIZADO C","34.34","0"," |","66.66","473286","   0.0","-"," |","-","0","0"," |","lucyr","001-001-0038590","0","0","0","0","0","0","7100","03","10","03","2026","137215"
"2026-03-03","PRE-184420","-","-","DYCK S.A. (Dyck SA  Johan)","Crédito","ANEXO","Pulido-MTL pulido recto 8 a 10mm"," |","-","-","0","0","0","0","0","0","0","Lista A","0","0"," |","5.05","35855","0.0","-"," |","Servicio","5.8","0.87"," |","lucyr","001-001-0038590","0","0","0","0","0","0","7100","03","10","03","2026","0"
"2026-03-03","PRE-184420","ORD-114678-5-2-2","Entregado","DYCK S.A. (Dyck SA  Johan)","Crédito","VIDRIO","Lam4+4I"," |","-","SI","6","1","2.413","1.847","4.456810999999999","34.34","0","OPTIMIZADO C","34.34","0"," |","153.05","1086655","   0.0","-"," |","-","0","0"," |","lucyr","001-001-0038590","0","0","0","0","0","0","7100","03","10","03","2026","137215"
"2026-03-03","PRE-184420","-","-","DYCK S.A. (Dyck SA  Johan)","Crédito","ANEXO","Pulido-MTL pulido recto 8 a 10mm"," |","-","-","0","0","0","0","0","0","0","Lista A","0","0"," |","7.41","52611","0.0","-"," |","Servicio","8.52","0.87"," |","lucyr","001-001-0038590","0","0","0","0","0","0","7100","03","10","03","2026","0"
"2026-03-03","PRE-184420","ORD-114678-5-2-2","Entregado","DYCK S.A. (Dyck SA  Johan)","Crédito","VIDRIO","Lam4+4I"," |","-","SI","6","1","1.587","1.855","2.943885","34.34","0","OPTIMIZADO C","34.34","0"," |","101.09","717739","   0.0","-"," |","-","0","0"," |","lucyr","001-001-0038590","0","0","0","0","0","0","7100","03","10","03","2026","137215"
"2026-03-03","PRE-184420","-","-","DYCK S.A. (Dyck SA  Johan)","Crédito","ANEXO","Pulido-MTL pulido recto 8 a 10mm"," |","-","-","0","0","0","0","0","0","0","Lista A","0","0"," |","5.99","42529","0.0","-"," |","Servicio","6.88","0.87"," |","lucyr","001-001-0038590","0","0","0","0","0","0","7100","03","10","03","2026","0"
"2026-03-03","PRE-184420","ORD-114678-5-2-2","Entregado","DYCK S.A. (Dyck SA  Johan)","Crédito","VIDRIO","Lam4+4I"," |","-","SI","6","1","1.051","1.855","1.9496049999999998","34.34","0","OPTIMIZADO C","34.34","0"," |","66.95","475345","   0.0","-"," |","-","0","0"," |","lucyr","001-001-0038590","0","0","0","0","0","0","7100","03","10","03","2026","137215"
"2026-03-03","PRE-184420","-","-","DYCK S.A. (Dyck SA  Johan)","Crédito","ANEXO","Pulido-MTL pulido recto 8 a 10mm"," |","-","-","0","0","0","0","0","0","0","Lista A","0","0"," |","5.05","35855","0.0","-"," |","Servicio","5.81","0.87"," |","lucyr","001-001-0038590","0","0","0","0","0","0","7100","03","10","03","2026","0"
"2026-03-03","PRE-184420","ORD-114678-5-2-2","Entregado","DYCK S.A. (Dyck SA  Johan)","Crédito","VIDRIO","Lam4+4I"," |","-","SI","6","1","2.83","1.953","5.5269900000000005","34.34","0","OPTIMIZADO C","34.34","0"," |","189.8","1347580","   0.0","-"," |","-","0","0"," |","lucyr","001-001-0038590","0","0","0","0","0","0","7100","03","10","03","2026","137215"
"2026-03-03","PRE-184420","-","-","DYCK S.A. (Dyck SA  Johan)","Crédito","ANEXO","Pulido-MTL pulido recto 8 a 10mm"," |","-","-","0","0","0","0","0","0","0","Lista A","0","0"," |","8.33","59143","0.0","-"," |","Servicio","9.57","0.87"," |","lucyr","001-001-0038590","0","0","0","0","0","0","7100","03","10","03","2026","0"
"2026-03-03","PRE-184420","ORD-114678-5-1-2","Entregado","DYCK S.A. (Dyck SA  Johan)","Crédito","VIDRIO","V6G"," |","-","SI","6","1","2.413","1.847","4.456810999999999","23.23","0","OPTIMIZADO C","23.23","0"," |","103.53","735063","   0.0","-"," |","-","0","0"," |","lucyr","001-001-0038590","0","0","0","0","0","0","7100","03","10","03","2026","136844"
